,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
60,FDW12,OUT035,2376.28952587
61,FDL51,OUT017,3770.85980588
62,NCY42,OUT027,3773.97620539
63,FDR07,OUT017,1598.67624602
64,FDN40,OUT045,2427.62012204
65,FDB35,OUT027,2477.25183279
66,FDA22,OUT017,2648.09205758
67,NCL06,OUT046,3948.02245549
68,FDI35,OUT013,3210.87123336
69,NCW42,OUT045,3499.83810181
70,NCX06,OUT049,3093.54964051
71,FDC37,OUT027,2794.42386291
72,FDZ14,OUT018,1717.48312208
73,DRG49,OUT049,4235.11730913
74,NCG06,OUT045,3829.24335804
75,DRC36,OUT045,2875.0623067
76,FDV21,OUT019,319.568216224
77,FDB53,OUT046,2462.39279033
78,DRP47,OUT019,506.739378004
79,FDA14,OUT013,2449.12029128
80,DRC24,OUT035,2590.38165624
81,FDW21,OUT018,1456.74186729
82,NCH29,OUT046,1573.3741208
83,FDU58,OUT013,3187.03445535
84,FDY27,OUT017,2952.26768291
85,FDV56,OUT035,1718.20046391
86,FDT59,OUT046,3745.67621562
87,FDB23,OUT046,3728.35066998
88,FDR49,OUT045,766.684165465
89,FDB03,OUT010,539.453308708
90,FDN39,OUT045,2868.69370443
91,FDX02,OUT027,5765.51700041
92,FDQ16,OUT027,2799.21312486
93,FDU35,OUT018,1459.22807829
94,NCT29,OUT013,2079.29586945
95,FDZ27,OUT046,779.094473173
96,FDN57,OUT017,2295.40916899
97,FDA03,OUT018,2116.26268687
98,FDZ36,OUT045,3110.35091548
99,NCU05,OUT013,1322.24053529
100,FDT39,OUT018,2226.64334443
101,FDK60,OUT017,1614.30986807
102,FDZ25,OUT017,2787.82305169
103,FDG12,OUT046,2045.08430601
104,DRB01,OUT019,485.540233212
105,NCC43,OUT027,6048.04549592
106,FDX13,OUT019,520.748521145
107,FDM22,OUT049,817.413165516
108,FDJ03,OUT027,1414.88339869
109,FDU14,OUT018,3577.38271019
110,FDB33,OUT010,392.183609317
111,FDP27,OUT046,3143.49247315
112,FDO38,OUT010,221.446804014
113,FDE28,OUT027,6000.7314874
114,FDO27,OUT035,1543.26173422
115,DRL23,OUT027,2764.72791492
116,FDS28,OUT046,906.294597345
117,FDX24,OUT013,1415.63646001
118,FDZ02,OUT035,1559.50693651
119,FDL46,OUT045,1988.61117056
120,FDS60,OUT027,5032.94060083
121,NCO06,OUT017,585.012688124
122,FDO16,OUT035,1388.20141007
123,FDC60,OUT049,1347.84276929
124,FDA48,OUT018,3209.22433684
125,FDZ36,OUT027,5119.08443917
126,FDK27,OUT045,2035.17431437
127,FDW23,OUT018,584.63942427
128,FDM14,OUT018,1489.11679243
129,FDM14,OUT013,1773.36609602
130,FDW60,OUT018,2717.06179083
131,FDE21,OUT013,1977.06728593
132,NCM42,OUT035,1730.50538498
133,FDY59,OUT010,218.357479276
134,DRI49,OUT049,1313.42651486
135,FDT28,OUT019,360.833167799
136,FDQ22,OUT018,596.483748401
137,FDR60,OUT049,1174.9109122
138,FDC50,OUT019,241.537611448
139,FDV24,OUT013,2436.99166203
140,DRF48,OUT010,488.650690075
141,FDQ47,OUT046,647.64150724
142,DRN36,OUT049,1552.15333893
143,NCY06,OUT035,2087.63952765
144,FDE52,OUT035,1401.06825982
145,NCB54,OUT045,2030.58694257
146,NCF31,OUT035,2473.53931964
147,FDJ08,OUT027,5184.72605763
148,NCC07,OUT017,1727.62638641
149,NCD19,OUT027,1657.55930926
150,FDL46,OUT049,2100.05014855
151,FDM20,OUT045,4045.47374737
152,NCI06,OUT010,461.876057544
153,DRM11,OUT035,4095.35679219
154,NCH07,OUT018,2331.11657941
155,FDS23,OUT013,2098.32620509
156,FDO49,OUT018,688.906702978
157,FDS35,OUT049,928.135985473
158,DRK39,OUT045,1364.15239958
159,DRI39,OUT049,851.275567816
160,FDV04,OUT017,2520.41446036
161,NCN14,OUT035,2993.40110145
162,FDH08,OUT013,4063.47751469
163,FDS20,OUT046,3089.50944307
164,FDV40,OUT049,1149.07369668
165,FDZ48,OUT010,258.641934276
166,FDS24,OUT027,2398.48176996
167,FDK44,OUT049,2932.7727762
168,FDS48,OUT045,2453.24630309
169,FDK26,OUT010,499.842496346
170,FDD23,OUT045,3083.71821137
171,NCH54,OUT017,2685.03656231
172,NCP14,OUT010,256.363424873
173,FDM60,OUT010,147.917502136
174,FDV24,OUT017,2404.95109174
175,FDH08,OUT018,3341.69602892
176,FDS12,OUT027,3360.17288224
177,FDR39,OUT027,5061.58151366
178,FDP12,OUT027,1165.4749755
179,DRF60,OUT027,6022.10467908
180,FDC09,OUT035,1662.51152491
181,FDF50,OUT018,2925.81188121
182,FDG28,OUT035,4168.50425935
183,NCE19,OUT017,864.608092726
184,NCM53,OUT010,249.239528294
185,NCN18,OUT049,1740.62419509
186,FDF32,OUT035,3149.59505815
187,FDF11,OUT013,4305.61647725
188,DRI59,OUT049,3727.78321016
189,NCG54,OUT035,2889.65678676
190,FDM44,OUT046,1642.23893774
191,FDT57,OUT018,3366.58889708
192,FDV24,OUT046,2392.08474207
193,FDI50,OUT019,512.50602046
194,FDS09,OUT035,828.181827233
195,NCC31,OUT027,4087.96071105
196,FDQ07,OUT019,507.640281479
197,FDC22,OUT017,3266.70660083
198,FDZ56,OUT046,2884.32698564
199,FDZ40,OUT019,167.387911924
200,FDS46,OUT027,3106.84338411
201,DRD24,OUT045,2180.23663503
202,FDV45,OUT017,3065.34271785
203,FDL26,OUT045,2599.21557416
204,FDA56,OUT018,1729.99418713
205,FDN27,OUT046,2047.78033612
206,FDM20,OUT049,4296.89467656
207,FDO16,OUT017,1364.62566594
208,FDL03,OUT035,3117.97909821
209,FDE58,OUT046,1995.8630717
210,FDI02,OUT027,2951.10526576
211,NCC55,OUT019,151.247596466
212,FDR03,OUT018,3082.08221457
213,FDB14,OUT017,1458.35033523
214,FDR45,OUT013,4297.08778611
215,NCN07,OUT017,2211.54666588
216,FDM51,OUT019,276.652163667
217,FDT52,OUT027,6143.05486894
218,FDL26,OUT046,2490.62546388
219,NCZ42,OUT046,3888.78231196
220,DRI47,OUT019,357.356641617
221,FDW40,OUT013,2355.5247519
222,FDN34,OUT046,2925.05591129
223,FDS01,OUT035,2994.74253443
224,NCG55,OUT045,1951.7652894
225,FDC11,OUT035,1426.72399483
226,FDX35,OUT018,3306.96785814
227,NCB06,OUT046,2711.42396134
228,FDR09,OUT019,515.45768944
229,FDC53,OUT017,1593.92848489
230,FDY45,OUT013,4374.5963922
231,FDA22,OUT010,415.682335831
232,FDE02,OUT035,1525.31748073
233,FDW21,OUT045,1611.8924577
234,FDV34,OUT046,1196.24471434
235,FDS59,OUT049,1729.59398341
236,NCW17,OUT017,2191.39707584
237,NCK54,OUT046,1995.94527734
238,FDG17,OUT019,508.752875274
239,FDG35,OUT017,2909.47728199
240,FDD08,OUT010,143.059713602
241,NCO07,OUT017,3781.89894514
242,FDJ10,OUT010,348.668646418
243,FDW36,OUT017,1722.79801748
244,FDW21,OUT010,253.008723572
245,FDY19,OUT017,2042.50859322
246,DRE03,OUT013,729.609050235
247,NCC55,OUT049,659.416015452
248,FDH52,OUT010,180.069161487
249,FDO09,OUT017,3980.43951986
250,FDU43,OUT045,3969.23579189
251,FDX09,OUT010,425.468407761
252,FDH40,OUT019,234.881574284
253,FDW58,OUT017,1719.56822709
254,FDC47,OUT017,3941.02069894
255,NCR41,OUT035,1518.21990025
256,DRG49,OUT035,4058.65007659
257,FDC52,OUT027,4058.86221572
258,FDY13,OUT046,1247.36444435
259,FDY35,OUT013,702.850262717
260,FDI35,OUT017,3112.68801501
261,NCU18,OUT049,2236.13293178
262,FDY33,OUT018,2362.02614138
263,FDC15,OUT027,4211.54954806
264,FDU01,OUT049,3198.6598897
265,NCU42,OUT046,2891.37664128
266,NCV29,OUT018,2710.28931158
267,NCY30,OUT017,3026.92443277
268,FDQ46,OUT049,1794.99545945
269,FDG58,OUT027,4178.22745314
270,FDK33,OUT017,3822.24038514
271,NCD07,OUT045,1929.10785012
272,NCX29,OUT027,3967.45887063
273,NCT42,OUT013,2514.72414862
274,DRN59,OUT035,742.136986759
275,FDI44,OUT035,1248.81704045
276,FDA45,OUT049,2963.78681439
277,FDP31,OUT045,1023.90127412
278,FDY01,OUT046,1921.41124345
279,FDT09,OUT018,1859.42848364
280,DRH03,OUT027,2533.84307775
281,FDA36,OUT018,2748.24526079
282,NCF31,OUT017,2474.23098896
283,FDG14,OUT049,2468.80504265
284,FDG28,OUT027,6113.37361836
285,FDU14,OUT049,4293.33863921
286,FDY47,OUT019,331.369774341
287,FDI56,OUT049,1398.12037403
288,DRD01,OUT013,788.101832037
289,FDM22,OUT046,902.14396127
290,FDH33,OUT013,685.858419935
291,DRZ24,OUT013,2018.80648231
292,NCQ38,OUT046,1680.29746853
293,FDO16,OUT027,2350.27863157
294,FDU07,OUT027,4003.60325909
295,NCB07,OUT013,3061.95894051
296,FDU48,OUT045,2114.46038848
297,NCM43,OUT045,2860.84182054
298,FDR31,OUT010,343.591604596
299,DRK49,OUT018,615.108133209
300,NCI30,OUT010,546.061005754
301,DRD60,OUT017,3045.93773985
302,NCG19,OUT046,3661.25444128
303,FDH12,OUT035,1672.32167361
304,FDM32,OUT035,1447.88310596
305,FDM27,OUT035,2624.6890458
306,NCU53,OUT027,4461.0633472
307,NCQ18,OUT046,1622.09641548
308,FDS10,OUT013,3113.13286055
309,FDB33,OUT027,4170.9145369
310,FDI12,OUT013,1337.67986072
311,NCW42,OUT013,3694.28049882
312,NCC06,OUT018,1809.62504289
313,FDW02,OUT017,2093.41081093
314,NCD43,OUT017,1719.29910582
315,FDM57,OUT018,1218.52857189
316,FDA58,OUT017,3949.34501752
317,FDK56,OUT046,3137.62777993
318,FDP52,OUT045,3834.71879623
319,FDW20,OUT018,1715.17353882
320,FDS52,OUT049,1618.57100781
321,NCT29,OUT018,1695.67360119
322,NCL54,OUT013,2960.15729389
323,FDC05,OUT045,3075.00518383
324,FDF34,OUT035,3172.48998468
325,FDP03,OUT027,3341.84082428
326,FDD32,OUT010,214.696354129
327,FDZ10,OUT045,2091.44133555
328,FDZ40,OUT035,903.268026922
329,FDD51,OUT018,655.15456207
330,NCY30,OUT019,449.36220124
331,FDP58,OUT017,3811.62736821
332,FDV49,OUT017,4149.30773716
333,FDY24,OUT019,158.681653152
334,NCO55,OUT017,1725.46220342
335,FDR13,OUT017,1951.69918604
336,FDS51,OUT017,951.721313716
337,FDP26,OUT045,1653.0495622
338,NCB54,OUT027,3358.72354802
339,FDF32,OUT017,3215.20820325
340,FDN31,OUT018,2710.90852597
341,DRM48,OUT017,588.920246176
342,FDN20,OUT049,2950.13917714
343,DRL01,OUT046,3843.74246398
344,FDV56,OUT049,1686.51079371
345,DRH13,OUT027,2777.23541539
346,FDA03,OUT017,2489.2200466
347,FDF47,OUT027,5656.3092755
348,FDX32,OUT046,2449.45831767
349,FDX57,OUT049,1544.64566682
350,NCA30,OUT045,2954.04657713
351,FDO49,OUT013,757.273226904
352,FDL04,OUT019,253.75120831
353,DRM48,OUT035,631.477482266
354,FDR16,OUT013,3405.14190955
355,NCC19,OUT018,2824.46185336
356,NCE42,OUT045,3741.17407276
357,FDY24,OUT017,862.983334348
358,FDH19,OUT049,2944.43287866
359,FDJ46,OUT013,2861.60993694
360,FDN45,OUT010,535.692126866
361,FDY08,OUT035,2212.89566708
362,FDZ37,OUT035,1390.92408593
363,NCT30,OUT045,767.479451002
364,DRY23,OUT018,633.249182719
365,NCZ30,OUT018,1717.60728301
366,FDC44,OUT018,1589.98690562
367,FDB45,OUT035,1681.31147965
368,FDY04,OUT013,2620.5860032
369,FDM27,OUT046,2719.32136827
370,FDZ43,OUT017,4073.86414497
371,FDT39,OUT019,369.821409657
372,NCC06,OUT019,323.810365138
373,FDL15,OUT027,4097.48384467
374,FDL57,OUT017,4014.40080771
375,FDU08,OUT046,1588.88153857
376,FDK40,OUT017,4149.30773716
377,FDQ12,OUT010,562.652861273
378,FDS48,OUT017,2459.95259126
379,FDP09,OUT045,3561.69644537
380,FDW21,OUT049,1600.74758689
381,FDY25,OUT035,3069.70193142
382,DRE13,OUT017,1414.41685654
383,FDV43,OUT019,137.672911908
384,FDD22,OUT045,1773.45187164
385,FDM46,OUT019,244.525535799
386,NCO30,OUT010,457.946206247
387,FDM25,OUT046,2830.44592854
388,NCN41,OUT049,2126.44540802
389,FDU24,OUT045,1464.43665023
390,FDZ50,OUT046,3072.40367252
391,FDP45,OUT013,4361.05405699
392,NCM54,OUT045,2091.67588307
393,FDW10,OUT019,411.938003856
394,FDP20,OUT017,2194.6881519
395,FDK32,OUT046,2514.67759598
396,FDN52,OUT049,1354.45136835
397,FDM58,OUT045,1751.96078603
398,FDZ46,OUT027,2804.63346107
399,NCA18,OUT018,1670.5599955
400,FDD35,OUT046,2085.23522354
401,NCK31,OUT035,787.601977559
402,FDI40,OUT027,2615.53937178
403,FDT50,OUT019,258.058000771
404,NCT06,OUT046,2816.62377502
405,FDT31,OUT035,3024.93770145
406,FDT45,OUT049,813.456186713
407,FDT13,OUT045,2982.67302575
408,FDO50,OUT045,1436.64433247
409,NCU18,OUT010,336.41170504
410,NCR54,OUT049,3159.94193194
411,NCO18,OUT018,2729.6417501
412,FDU09,OUT045,912.216464254
413,FDT13,OUT018,2755.8409786
414,FDE09,OUT046,1831.02494222
415,NCK53,OUT019,251.892859538
416,FDG45,OUT049,3516.47591128
417,DRH15,OUT035,745.325480324
418,FDO21,OUT019,504.770147572
419,FDD14,OUT027,5081.54643297
420,FDC09,OUT046,1672.74438947
421,FDH45,OUT027,1269.18625077
422,FDV32,OUT046,1014.55577027
423,FDG12,OUT035,1999.32002666
424,FDS32,OUT013,2381.49012163
425,NCL55,OUT018,3509.79158421
426,DRE01,OUT035,4050.7552333
427,DRE15,OUT049,1200.12884796
428,NCL42,OUT045,3818.04001603
429,FDP31,OUT013,926.472696884
430,FDN33,OUT018,1364.9764982
431,FDZ59,OUT046,2737.67183625
432,FDE45,OUT010,448.619401694
433,FDJ07,OUT013,2010.92237341
434,FDQ45,OUT018,2745.25195831
435,FDM33,OUT027,5483.17050035
436,FDO15,OUT010,242.672693422
437,FDM46,OUT013,1512.63578633
438,FDR03,OUT045,3362.53652816
439,FDY49,OUT018,2469.73891172
440,FDQ60,OUT045,1973.01717362
441,FDW10,OUT049,2946.64081105
442,FDO51,OUT049,762.057233184
443,FDJ40,OUT018,1480.86065662
444,FDS20,OUT018,2699.31182343
445,FDU45,OUT013,1872.67166257
446,FDV02,OUT035,2883.25600909
447,FDN09,OUT046,3868.25727983
448,NCM55,OUT027,5082.54563714
449,FDN23,OUT018,2091.97444169
450,FDY31,OUT010,352.317111429
451,FDW03,OUT010,261.153358262
452,FDD14,OUT046,2948.56497313
453,FDV23,OUT017,2097.8683736
454,DRI03,OUT045,2830.4182437
455,FDN13,OUT035,1621.06457255
456,FDF45,OUT027,1659.73540584
457,FDU46,OUT035,1435.34030199
458,FDB57,OUT049,3700.66304466
459,FDV12,OUT049,1615.74223722
460,FDQ58,OUT013,2523.51843697
461,NCA18,OUT017,1938.05271868
462,FDH52,OUT049,860.573972961
463,FDM24,OUT018,2204.09962098
464,NCP43,OUT027,5011.79079894
465,NCO18,OUT019,432.376772079
466,FDM32,OUT017,1432.72556968
467,NCL07,OUT017,611.753590374
468,FDK03,OUT013,4337.20417824
469,FDP59,OUT017,1731.83474798
470,FDQ24,OUT049,4284.14419757
471,FDQ16,OUT018,1490.38282068
472,FDU44,OUT013,2573.31543188
473,FDH28,OUT010,147.560589027
474,FDV28,OUT019,152.57916867
475,FDM22,OUT045,903.374497518
476,FDR56,OUT046,3134.71714442
477,FDV39,OUT049,3217.12242583
478,FDU37,OUT019,224.043477783
479,FDQ11,OUT010,566.527950726
480,FDX02,OUT045,3571.17174255
481,NCS42,OUT018,1326.28084744
482,FDY57,OUT027,2559.72524436
483,FDB21,OUT049,4144.18579149
484,FDE28,OUT017,3893.16440589
485,FDQ55,OUT017,1897.8617966
486,FDA48,OUT049,3577.19087229
487,FDZ19,OUT045,2778.76026585
488,NCC43,OUT045,3887.46124984
489,NCV18,OUT046,1358.45853061
490,NCA42,OUT018,2415.49060137
491,FDY45,OUT046,3925.30601024
492,NCC30,OUT045,2924.54329921
493,FDM57,OUT013,1385.98491337
494,FDL09,OUT010,408.19418882
495,FDB09,OUT027,3213.42891655
496,FDT44,OUT035,2010.18376278
497,NCT06,OUT027,4412.62752355
498,FDX26,OUT049,3173.48107356
499,FDK32,OUT013,2478.23569115
500,DRA12,OUT046,2233.94049014
501,FDO46,OUT010,496.633176758
502,FDE52,OUT013,1348.28412764
503,NCH42,OUT045,3668.36917159
504,FDV08,OUT035,706.201422255
505,FDB47,OUT018,3176.09974773
506,FDC28,OUT010,255.916876792
507,FDD22,OUT046,1888.70266016
508,FDS07,OUT027,3091.68704871
509,DRI13,OUT045,3448.24304253
510,FDG32,OUT018,3217.48121805
511,FDU14,OUT017,4165.80699423
512,FDD28,OUT019,170.617066694
513,NCP41,OUT017,1764.46268025
514,FDS08,OUT049,2956.02026629
515,FDX47,OUT045,2531.3109772
516,FDC53,OUT019,251.491914034
517,FDQ19,OUT035,4116.73529469
518,FDL14,OUT045,2406.74742937
519,FDM33,OUT019,489.965487483
520,FDA51,OUT045,1868.74172795
521,FDZ27,OUT018,694.450144362
522,FDT04,OUT046,668.850629464
523,DRC13,OUT049,2088.69516528
524,FDR16,OUT027,5386.61817382
525,FDQ03,OUT027,5968.12909552
526,FDE38,OUT035,2780.0229499
527,DRH23,OUT027,1765.32089253
528,FDT11,OUT019,496.178325766
529,FDD09,OUT035,2974.91942298
530,FDR40,OUT045,1362.860767
531,FDX07,OUT017,3115.70471888
532,FDR07,OUT035,1589.38997046
533,FDA51,OUT017,1891.9091687
534,FDT59,OUT019,513.779471449
535,FDF20,OUT017,3222.23023662
536,FDR13,OUT045,1917.63235791
537,FDY26,OUT049,3452.96631236
538,FDW04,OUT017,2127.10016535
539,FDK52,OUT017,3848.84506994
540,FDN60,OUT049,2655.96655767
541,FDM09,OUT019,415.904022617
542,FDP46,OUT049,1396.97210189
543,FDB50,OUT019,242.88321163
544,NCQ29,OUT049,4214.02791073
545,FDP16,OUT027,6098.13219956
546,FDX33,OUT018,2361.36063163
547,FDP07,OUT010,503.109772736
548,FDN22,OUT046,3943.23789549
549,FDF39,OUT049,4225.72246948
550,FDS21,OUT017,926.202667995
551,NCM42,OUT013,1765.35232966
552,FDK50,OUT019,412.544759844
553,DRF13,OUT027,4031.80950368
554,FDH35,OUT018,2434.37575776
555,FDP60,OUT018,1422.76688031
556,DRJ49,OUT027,3400.79812782
557,NCT42,OUT019,361.666121799
558,FDE38,OUT049,2908.61327752
559,FDI04,OUT049,3233.28128442
560,NCH54,OUT045,2673.42872605
561,FDT56,OUT049,853.100158405
562,DRD15,OUT018,3374.18135925
563,FDV58,OUT013,3008.40915896
564,FDP21,OUT049,3253.21590755
565,FDH05,OUT013,3984.94394149
566,FDR10,OUT027,4318.07107693
567,NCP06,OUT045,2540.13515982
568,FDF33,OUT049,1666.24451702
569,DRK37,OUT013,3176.82889471
570,DRH49,OUT045,1338.96047388
571,FDT58,OUT013,2701.6605044
572,FDD41,OUT018,1490.65889549
573,FDP40,OUT018,1534.38835148
574,FDM51,OUT027,2611.00930636
575,FDO45,OUT010,227.898510318
576,FDW33,OUT010,258.606920547
577,FDY24,OUT045,896.093293009
578,FDB10,OUT010,557.448198733
579,FDM40,OUT035,2220.66981752
580,NCI06,OUT017,3083.91505055
581,FDW12,OUT019,354.955693193
582,FDX48,OUT027,4169.97926265
583,NCW05,OUT027,2791.41130936
584,FDX27,OUT017,1536.48338208
585,DRM37,OUT045,3079.09236394
586,FDA38,OUT045,4015.03914258
587,FDR36,OUT046,674.360730444
588,FDZ45,OUT046,3172.07752182
589,FDG05,OUT017,2560.9107529
590,FDK28,OUT013,4341.65331586
591,FDV47,OUT045,1329.44505298
592,FDN21,OUT045,2741.02670139
593,FDP20,OUT027,3276.04402582
594,FDI35,OUT045,2978.15914881
595,DRY23,OUT013,704.635692797
596,FDA56,OUT017,2091.56710313
597,FDB09,OUT013,2127.91684074
598,NCO26,OUT027,3095.71953914
599,FDQ49,OUT018,2349.9192603
600,FDI52,OUT027,3243.71794834
601,FDZ44,OUT027,3039.14522309
602,FDZ09,OUT018,2422.90668138
603,FDY03,OUT049,1853.5897414
604,NCG42,OUT017,2212.16227639
605,DRI13,OUT027,5378.85773134
606,FDQ32,OUT013,2166.04858862
607,FDW16,OUT035,1422.86891453
608,FDU27,OUT046,745.104494828
609,FDR28,OUT010,406.277648617
610,FDQ49,OUT010,386.357815559
611,FDS37,OUT046,1927.18125983
612,FDW26,OUT018,3211.69664703
613,FDX12,OUT018,3469.39735004
614,NCP06,OUT013,2538.23876658
615,FDW45,OUT010,348.660456391
616,NCN30,OUT049,1486.96228079
617,FDN24,OUT049,827.08702536
618,NCL41,OUT027,1161.95502889
619,FDR02,OUT019,275.195539388
620,FDD09,OUT010,465.486978939
621,FDS33,OUT010,229.090273017
622,FDU22,OUT045,2000.13896334
623,FDI53,OUT013,2603.63917383
624,DRH01,OUT049,2957.86730391
625,FDX32,OUT013,2426.52525249
626,NCP30,OUT018,596.483748401
627,FDB60,OUT045,3129.09682225
628,FDB14,OUT049,1393.70011805
629,NCP02,OUT035,932.229516411
630,FDJ10,OUT017,2274.0078129
631,FDG34,OUT046,1772.65671333
632,NCB18,OUT017,1416.12267567
633,FDM16,OUT049,1161.94934241
634,FDW25,OUT018,1256.70406451
635,FDB35,OUT010,231.266579261
636,DRN11,OUT013,2430.11146325
637,FDF41,OUT019,517.140237248
638,FDH16,OUT045,1382.55414026
639,NCQ50,OUT018,3194.46979771
640,DRH23,OUT018,774.515979374
641,DRJ37,OUT013,2517.06106017
642,DRJ24,OUT027,4995.11571725
643,FDY16,OUT035,3024.42525811
644,FDQ27,OUT045,1663.51569691
645,FDZ33,OUT045,2463.67599465
646,FDF29,OUT045,2108.99004389
647,FDA08,OUT049,2877.93528356
648,FDG31,OUT046,1009.50561377
649,FDE34,OUT019,482.62729081
650,NCR30,OUT027,2054.71486446
651,FDV33,OUT035,4034.87860308
652,DRZ24,OUT018,1721.64103285
653,NCL54,OUT035,2895.39469585
654,FDR12,OUT049,3016.1087423
655,NCC54,OUT046,3878.52222679
656,DRN59,OUT013,740.250005018
657,FDX50,OUT019,272.35004644
658,FDV31,OUT027,5031.39457228
659,NCA29,OUT027,4682.88378837
660,FDW60,OUT049,3007.93551751
661,FDX08,OUT017,3132.16788176
662,DRD49,OUT013,4025.916841
663,FDD33,OUT046,3608.71996465
664,FDW35,OUT013,678.982113884
665,FDJ36,OUT017,1730.19570043
666,FDV51,OUT035,2857.4393553
667,FDW36,OUT046,1720.60063784
668,FDH35,OUT046,2792.66326707
669,NCS30,OUT027,3455.75326826
670,FDN49,OUT017,600.49063732
671,FDL08,OUT018,3534.73537756
672,FDI09,OUT013,4049.62382477
673,FDP19,OUT018,1800.68300191
674,FDU21,OUT010,157.621455136
675,NCP41,OUT045,1675.44631303
676,FDY10,OUT013,1866.40304856
677,FDP12,OUT018,582.315236324
678,NCN26,OUT049,1961.69108175
679,FDK44,OUT013,2839.6106265
680,FDC28,OUT049,1688.22859046
681,FDJ41,OUT027,6105.81606121
682,NCT29,OUT035,2028.64081277
683,NCH42,OUT019,495.785693922
684,FDU60,OUT018,2409.89167166
685,FDS02,OUT045,3117.89506865
686,FDC51,OUT046,2065.06919116
687,FDU03,OUT013,3174.14095129
688,FDX39,OUT045,3593.00036089
689,NCY05,OUT010,148.556313436
690,NCL06,OUT027,6085.12103513
691,FDD32,OUT035,1285.59496538
692,NCN41,OUT045,2052.50790264
693,NCX53,OUT049,2234.68567535
694,FDU57,OUT019,362.46770515
695,FDQ23,OUT046,1716.23070573
696,FDQ52,OUT045,4013.18108328
697,FDC14,OUT045,662.02745073
698,FDY09,OUT035,2936.24198273
699,FDQ28,OUT045,2634.30871423
700,FDV25,OUT046,3501.44610239
701,FDJ07,OUT035,1938.26368574
702,DRB25,OUT049,1664.38219542
703,FDK52,OUT019,506.061961013
704,FDY52,OUT027,1760.89278891
705,FDB28,OUT046,3221.91877891
706,FDT36,OUT035,626.48351904
707,FDV25,OUT017,3785.4864627
708,NCN07,OUT027,3406.20705614
709,FDC57,OUT017,3147.45850247
710,FDQ03,OUT018,3370.28646778
711,FDU23,OUT017,2719.54083458
712,NCX41,OUT035,3659.51121192
713,NCD06,OUT035,763.697203837
714,FDW08,OUT045,1655.00910276
715,NCU29,OUT017,2414.21909526
716,NCE06,OUT013,2590.11249144
717,FDV52,OUT010,267.395541946
718,FDB02,OUT017,2904.79007942
719,NCR18,OUT045,694.003331561
720,FDK16,OUT049,1450.18765852
721,NCQ29,OUT010,561.29536234
722,FDZ01,OUT019,268.779940148
723,FDW27,OUT035,2554.60315021
724,FDD17,OUT018,3442.60692483
725,FDW39,OUT013,2928.82899125
726,DRH59,OUT045,1199.52395494
727,FDS52,OUT013,1667.62703598
728,FDU40,OUT027,5243.50857432
729,NCF54,OUT013,2852.28099576
730,FDH46,OUT045,1655.05902992
731,NCP14,OUT049,1668.8747109
732,FDH50,OUT049,3214.97722596
733,DRF15,OUT010,376.967826614
734,FDV27,OUT027,2393.41164013
735,NCJ06,OUT049,2124.31549884
736,FDN02,OUT018,3113.9644629
737,FDQ51,OUT049,739.845181333
