Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDO27,OUT035,1543.261734
DRL23,OUT027,2764.727915
FDS28,OUT046,906.2945973
FDX24,OUT013,1415.63646
FDZ02,OUT035,1559.506937
FDL46,OUT045,1988.611171
FDS60,OUT027,5032.940601
NCO06,OUT017,585.0126881
FDO16,OUT035,1388.20141
FDC60,OUT049,1347.842769
FDA48,OUT018,3209.224337
FDZ36,OUT027,5119.084439
FDK27,OUT045,2035.174314
FDW23,OUT018,584.6394243
FDM14,OUT018,1489.116792
FDM14,OUT013,1773.366096
FDW60,OUT018,2717.061791
FDE21,OUT013,1977.067286
NCM42,OUT035,1730.505385
FDY59,OUT010,218.3574793
DRI49,OUT049,1313.426515
FDT28,OUT019,360.8331678
FDQ22,OUT018,596.4837484
FDR60,OUT049,1174.910912
FDC50,OUT019,241.5376114
FDV24,OUT013,2436.991662
DRF48,OUT010,488.6506901
FDQ47,OUT046,647.6415072
DRN36,OUT049,1552.153339
NCY06,OUT035,2087.639528
FDE52,OUT035,1401.06826
NCB54,OUT045,2030.586943
NCF31,OUT035,2473.53932
FDJ08,OUT027,5184.726058
NCC07,OUT017,1727.626386
NCD19,OUT027,1657.559309
FDL46,OUT049,2100.050149
FDM20,OUT045,4045.473747
NCI06,OUT010,461.8760575
DRM11,OUT035,4095.356792
NCH07,OUT018,2331.116579
FDS23,OUT013,2098.326205
FDO49,OUT018,688.906703
FDS35,OUT049,928.1359855
DRK39,OUT045,1364.1524
DRI39,OUT049,851.2755678
FDV04,OUT017,2520.41446
NCN14,OUT035,2993.401101
FDH08,OUT013,4063.477515
FDS20,OUT046,3089.509443
FDV40,OUT049,1149.073697
FDZ48,OUT010,258.6419343
FDS24,OUT027,2398.48177
FDK44,OUT049,2932.772776
FDS48,OUT045,2453.246303
FDK26,OUT010,499.8424963
FDD23,OUT045,3083.718211
NCH54,OUT017,2685.036562
NCP14,OUT010,256.3634249
FDM60,OUT010,147.9175021
FDV24,OUT017,2404.951092
FDH08,OUT018,3341.696029
FDS12,OUT027,3360.172882
FDR39,OUT027,5061.581514
FDP12,OUT027,1165.474976
DRF60,OUT027,6022.104679
FDC09,OUT035,1662.511525
FDF50,OUT018,2925.811881
FDG28,OUT035,4168.504259
NCE19,OUT017,864.6080927
NCM53,OUT010,249.2395283
NCN18,OUT049,1740.624195
FDF32,OUT035,3149.595058
FDF11,OUT013,4305.616477
DRI59,OUT049,3727.78321
NCG54,OUT035,2889.656787
FDM44,OUT046,1642.238938
FDT57,OUT018,3366.588897
FDV24,OUT046,2392.084742
FDI50,OUT019,512.5060205
FDS09,OUT035,828.1818272
NCC31,OUT027,4087.960711
FDQ07,OUT019,507.6402815
FDC22,OUT017,3266.706601
FDZ56,OUT046,2884.326986
FDZ40,OUT019,167.3879119
FDS46,OUT027,3106.843384
DRD24,OUT045,2180.236635
FDV45,OUT017,3065.342718
FDL26,OUT045,2599.215574
FDA56,OUT018,1729.994187
FDN27,OUT046,2047.780336
FDM20,OUT049,4296.894677
FDO16,OUT017,1364.625666
FDL03,OUT035,3117.979098
FDE58,OUT046,1995.863072
FDI02,OUT027,2951.105266
NCC55,OUT019,151.2475965
FDR03,OUT018,3082.082215
FDB14,OUT017,1458.350335
FDR45,OUT013,4297.087786
NCN07,OUT017,2211.546666
FDM51,OUT019,276.6521637
FDT52,OUT027,6143.054869
FDL26,OUT046,2490.625464
NCZ42,OUT046,3888.782312
DRI47,OUT019,357.3566416
FDW40,OUT013,2355.524752
FDN34,OUT046,2925.055911
FDS01,OUT035,2994.742534
NCG55,OUT045,1951.765289
FDC11,OUT035,1426.723995
FDX35,OUT018,3306.967858
NCB06,OUT046,2711.423961
FDR09,OUT019,515.4576894
FDC53,OUT017,1593.928485
FDY45,OUT013,4374.596392
FDA22,OUT010,415.6823358
FDE02,OUT035,1525.317481
FDW21,OUT045,1611.892458
FDV34,OUT046,1196.244714
FDS59,OUT049,1729.593983
NCW17,OUT017,2191.397076
NCK54,OUT046,1995.945277
FDG17,OUT019,508.7528753
FDG35,OUT017,2909.477282
FDD08,OUT010,143.0597136
NCO07,OUT017,3781.898945
FDJ10,OUT010,348.6686464
FDW36,OUT017,1722.798017
FDW21,OUT010,253.0087236
FDY19,OUT017,2042.508593
DRE03,OUT013,729.6090502
NCC55,OUT049,659.4160155
FDH52,OUT010,180.0691615
FDO09,OUT017,3980.43952
FDU43,OUT045,3969.235792
FDX09,OUT010,425.4684078
FDH40,OUT019,234.8815743
FDW58,OUT017,1719.568227
FDC47,OUT017,3941.020699
NCR41,OUT035,1518.2199
DRG49,OUT035,4058.650077
FDC52,OUT027,4058.862216
FDY13,OUT046,1247.364444
FDY35,OUT013,702.8502627
FDI35,OUT017,3112.688015
NCU18,OUT049,2236.132932
FDY33,OUT018,2362.026141
FDC15,OUT027,4211.549548
FDU01,OUT049,3198.65989
NCU42,OUT046,2891.376641
NCV29,OUT018,2710.289312
NCY30,OUT017,3026.924433
FDQ46,OUT049,1794.995459
FDG58,OUT027,4178.227453
FDK33,OUT017,3822.240385
NCD07,OUT045,1929.10785
NCX29,OUT027,3967.458871
NCT42,OUT013,2514.724149
DRN59,OUT035,742.1369868
FDI44,OUT035,1248.81704
FDA45,OUT049,2963.786814
FDP31,OUT045,1023.901274
FDY01,OUT046,1921.411243
FDT09,OUT018,1859.428484
DRH03,OUT027,2533.843078
FDA36,OUT018,2748.245261
NCF31,OUT017,2474.230989
FDG14,OUT049,2468.805043
FDG28,OUT027,6113.373618
FDU14,OUT049,4293.338639
FDY47,OUT019,331.3697743
FDI56,OUT049,1398.120374
DRD01,OUT013,788.101832
FDM22,OUT046,902.1439613
FDH33,OUT013,685.8584199
DRZ24,OUT013,2018.806482
NCQ38,OUT046,1680.297469
FDO16,OUT027,2350.278632
FDU07,OUT027,4003.603259
NCB07,OUT013,3061.958941
FDU48,OUT045,2114.460388
NCM43,OUT045,2860.841821
FDR31,OUT010,343.5916046
DRK49,OUT018,615.1081332
NCI30,OUT010,546.0610058
DRD60,OUT017,3045.93774
NCG19,OUT046,3661.254441
FDH12,OUT035,1672.321674
FDM32,OUT035,1447.883106
FDM27,OUT035,2624.689046
NCU53,OUT027,4461.063347
NCQ18,OUT046,1622.096415
FDS10,OUT013,3113.132861
FDB33,OUT027,4170.914537
FDI12,OUT013,1337.679861
NCW42,OUT013,3694.280499
NCC06,OUT018,1809.625043
FDW02,OUT017,2093.410811
NCD43,OUT017,1719.299106
FDM57,OUT018,1218.528572
FDA58,OUT017,3949.345018
FDK56,OUT046,3137.62778
FDP52,OUT045,3834.718796
FDW20,OUT018,1715.173539
FDS52,OUT049,1618.571008
NCT29,OUT018,1695.673601
NCL54,OUT013,2960.157294
FDC05,OUT045,3075.005184
FDF34,OUT035,3172.489985
FDP03,OUT027,3341.840824
FDD32,OUT010,214.6963541
FDZ10,OUT045,2091.441336
FDZ40,OUT035,903.2680269
FDD51,OUT018,655.1545621
NCY30,OUT019,449.3622012
FDP58,OUT017,3811.627368
FDV49,OUT017,4149.307737
FDY24,OUT019,158.6816532
NCO55,OUT017,1725.462203
FDR13,OUT017,1951.699186
FDS51,OUT017,951.7213137
FDP26,OUT045,1653.049562
NCB54,OUT027,3358.723548
FDF32,OUT017,3215.208203
FDN31,OUT018,2710.908526
DRM48,OUT017,588.9202462
FDN20,OUT049,2950.139177
DRL01,OUT046,3843.742464
FDV56,OUT049,1686.510794
DRH13,OUT027,2777.235415
FDA03,OUT017,2489.220047
FDF47,OUT027,5656.309276
FDX32,OUT046,2449.458318
FDX57,OUT049,1544.645667
NCA30,OUT045,2954.046577
FDO49,OUT013,757.2732269
FDL04,OUT019,253.7512083
DRM48,OUT035,631.4774823
FDR16,OUT013,3405.14191
NCC19,OUT018,2824.461853
NCE42,OUT045,3741.174073
FDY24,OUT017,862.9833343
FDH19,OUT049,2944.432879
FDJ46,OUT013,2861.609937
FDN45,OUT010,535.6921269
FDY08,OUT035,2212.895667
FDZ37,OUT035,1390.924086
NCT30,OUT045,767.479451
DRY23,OUT018,633.2491827
NCZ30,OUT018,1717.607283
FDC44,OUT018,1589.986906
FDB45,OUT035,1681.31148
FDY04,OUT013,2620.586003
FDM27,OUT046,2719.321368
FDZ43,OUT017,4073.864145
FDT39,OUT019,369.8214097
NCC06,OUT019,323.8103651
FDL15,OUT027,4097.483845
FDL57,OUT017,4014.400808
FDU08,OUT046,1588.881539
FDK40,OUT017,4149.307737
FDQ12,OUT010,562.6528613
FDS48,OUT017,2459.952591
FDP09,OUT045,3561.696445
FDW21,OUT049,1600.747587
FDY25,OUT035,3069.701931
DRE13,OUT017,1414.416857
FDV43,OUT019,137.6729119
FDD22,OUT045,1773.451872
FDM46,OUT019,244.5255358
NCO30,OUT010,457.9462062
FDM25,OUT046,2830.445929
NCN41,OUT049,2126.445408
FDU24,OUT045,1464.43665
FDZ50,OUT046,3072.403673
FDP45,OUT013,4361.054057
NCM54,OUT045,2091.675883
FDW10,OUT019,411.9380039
FDP20,OUT017,2194.688152
FDK32,OUT046,2514.677596
FDN52,OUT049,1354.451368
FDM58,OUT045,1751.960786
FDZ46,OUT027,2804.633461
NCA18,OUT018,1670.559996
FDD35,OUT046,2085.235224
NCK31,OUT035,787.6019776
FDI40,OUT027,2615.539372
FDT50,OUT019,258.0580008
NCT06,OUT046,2816.623775
FDT31,OUT035,3024.937701
FDT45,OUT049,813.4561867
FDT13,OUT045,2982.673026
FDO50,OUT045,1436.644332
NCU18,OUT010,336.411705
NCR54,OUT049,3159.941932
NCO18,OUT018,2729.64175
FDU09,OUT045,912.2164643
FDT13,OUT018,2755.840979
FDE09,OUT046,1831.024942
NCK53,OUT019,251.8928595
FDG45,OUT049,3516.475911
DRH15,OUT035,745.3254803
FDO21,OUT019,504.7701476
FDD14,OUT027,5081.546433
FDC09,OUT046,1672.744389
FDH45,OUT027,1269.186251
FDV32,OUT046,1014.55577
FDG12,OUT035,1999.320027
FDS32,OUT013,2381.490122
NCL55,OUT018,3509.791584
DRE01,OUT035,4050.755233
DRE15,OUT049,1200.128848
NCL42,OUT045,3818.040016
FDP31,OUT013,926.4726969
FDN33,OUT018,1364.976498
FDZ59,OUT046,2737.671836
FDE45,OUT010,448.6194017
FDJ07,OUT013,2010.922373
FDQ45,OUT018,2745.251958
FDM33,OUT027,5483.1705
FDO15,OUT010,242.6726934
FDM46,OUT013,1512.635786
FDR03,OUT045,3362.536528
FDY49,OUT018,2469.738912
FDQ60,OUT045,1973.017174
FDW10,OUT049,2946.640811
FDO51,OUT049,762.0572332
FDJ40,OUT018,1480.860657
FDS20,OUT018,2699.311823
FDU45,OUT013,1872.671663
FDV02,OUT035,2883.256009
FDN09,OUT046,3868.25728
NCM55,OUT027,5082.545637
FDN23,OUT018,2091.974442
FDY31,OUT010,352.3171114
FDW03,OUT010,261.1533583
FDD14,OUT046,2948.564973
FDV23,OUT017,2097.868374
DRI03,OUT045,2830.418244
FDN13,OUT035,1621.064573
FDF45,OUT027,1659.735406
FDU46,OUT035,1435.340302
FDB57,OUT049,3700.663045
FDV12,OUT049,1615.742237
FDQ58,OUT013,2523.518437
NCA18,OUT017,1938.052719
FDH52,OUT049,860.573973
FDM24,OUT018,2204.099621
NCP43,OUT027,5011.790799
NCO18,OUT019,432.3767721
FDM32,OUT017,1432.72557
NCL07,OUT017,611.7535904
FDK03,OUT013,4337.204178
FDP59,OUT017,1731.834748
FDQ24,OUT049,4284.144198
FDQ16,OUT018,1490.382821
FDU44,OUT013,2573.315432
FDH28,OUT010,147.560589
FDV28,OUT019,152.5791687
FDM22,OUT045,903.3744975
FDR56,OUT046,3134.717144
FDV39,OUT049,3217.122426
FDU37,OUT019,224.0434778
FDQ11,OUT010,566.5279507
FDX02,OUT045,3571.171743
NCS42,OUT018,1326.280847
FDY57,OUT027,2559.725244
FDB21,OUT049,4144.185791
FDE28,OUT017,3893.164406
FDQ55,OUT017,1897.861797
FDA48,OUT049,3577.190872
FDZ19,OUT045,2778.760266
NCC43,OUT045,3887.46125
NCV18,OUT046,1358.458531
NCA42,OUT018,2415.490601
FDY45,OUT046,3925.30601
NCC30,OUT045,2924.543299
FDM57,OUT013,1385.984913
FDL09,OUT010,408.1941888
FDB09,OUT027,3213.428917
FDT44,OUT035,2010.183763
NCT06,OUT027,4412.627524
FDX26,OUT049,3173.481074
FDK32,OUT013,2478.235691
DRA12,OUT046,2233.94049
FDO46,OUT010,496.6331768
FDE52,OUT013,1348.284128
NCH42,OUT045,3668.369172
FDV08,OUT035,706.2014223
FDB47,OUT018,3176.099748
FDC28,OUT010,255.9168768
FDD22,OUT046,1888.70266
FDS07,OUT027,3091.687049
DRI13,OUT045,3448.243043
FDG32,OUT018,3217.481218
FDU14,OUT017,4165.806994
FDD28,OUT019,170.6170667
NCP41,OUT017,1764.46268
FDS08,OUT049,2956.020266
FDX47,OUT045,2531.310977
FDC53,OUT019,251.491914
FDQ19,OUT035,4116.735295
FDL14,OUT045,2406.747429
FDM33,OUT019,489.9654875
FDA51,OUT045,1868.741728
FDZ27,OUT018,694.4501444
FDT04,OUT046,668.8506295
DRC13,OUT049,2088.695165
FDR16,OUT027,5386.618174
FDQ03,OUT027,5968.129096
FDE38,OUT035,2780.02295
DRH23,OUT027,1765.320893
FDT11,OUT019,496.1783258
FDD09,OUT035,2974.919423
FDR40,OUT045,1362.860767
FDX07,OUT017,3115.704719
FDR07,OUT035,1589.38997
FDA51,OUT017,1891.909169
FDT59,OUT019,513.7794714
FDF20,OUT017,3222.230237
FDR13,OUT045,1917.632358
FDY26,OUT049,3452.966312
FDW04,OUT017,2127.100165
FDK52,OUT017,3848.84507
FDN60,OUT049,2655.966558
FDM09,OUT019,415.9040226
FDP46,OUT049,1396.972102
FDB50,OUT019,242.8832116
NCQ29,OUT049,4214.027911
FDP16,OUT027,6098.1322
FDX33,OUT018,2361.360632
FDP07,OUT010,503.1097727
FDN22,OUT046,3943.237895
FDF39,OUT049,4225.722469
FDS21,OUT017,926.202668
NCM42,OUT013,1765.35233
FDK50,OUT019,412.5447598
DRF13,OUT027,4031.809504
FDH35,OUT018,2434.375758
FDP60,OUT018,1422.76688
DRJ49,OUT027,3400.798128
NCT42,OUT019,361.6661218
FDE38,OUT049,2908.613278
FDI04,OUT049,3233.281284
NCH54,OUT045,2673.428726
FDT56,OUT049,853.1001584
DRD15,OUT018,3374.181359
FDV58,OUT013,3008.409159
FDP21,OUT049,3253.215908
FDH05,OUT013,3984.943941
FDR10,OUT027,4318.071077
NCP06,OUT045,2540.13516
FDF33,OUT049,1666.244517
DRK37,OUT013,3176.828895
DRH49,OUT045,1338.960474
FDT58,OUT013,2701.660504
FDD41,OUT018,1490.658895
FDP40,OUT018,1534.388351
FDM51,OUT027,2611.009306
FDO45,OUT010,227.8985103
FDW33,OUT010,258.6069205
FDY24,OUT045,896.093293
FDB10,OUT010,557.4481987
FDM40,OUT035,2220.669818
NCI06,OUT017,3083.915051
FDW12,OUT019,354.9556932
FDX48,OUT027,4169.979263
NCW05,OUT027,2791.411309
FDX27,OUT017,1536.483382
DRM37,OUT045,3079.092364
FDA38,OUT045,4015.039143
FDR36,OUT046,674.3607304
FDZ45,OUT046,3172.077522
FDG05,OUT017,2560.910753
FDK28,OUT013,4341.653316
FDV47,OUT045,1329.445053
FDN21,OUT045,2741.026701
FDP20,OUT027,3276.044026
FDI35,OUT045,2978.159149
DRY23,OUT013,704.6356928
FDA56,OUT017,2091.567103
FDB09,OUT013,2127.916841
NCO26,OUT027,3095.719539
FDQ49,OUT018,2349.91926
FDI52,OUT027,3243.717948
FDZ44,OUT027,3039.145223
FDZ09,OUT018,2422.906681
FDY03,OUT049,1853.589741
NCG42,OUT017,2212.162276
DRI13,OUT027,5378.857731
FDQ32,OUT013,2166.048589
FDW16,OUT035,1422.868915
FDU27,OUT046,745.1044948
FDR28,OUT010,406.2776486
FDQ49,OUT010,386.3578156
FDS37,OUT046,1927.18126
FDW26,OUT018,3211.696647
FDX12,OUT018,3469.39735
NCP06,OUT013,2538.238767
FDW45,OUT010,348.6604564
NCN30,OUT049,1486.962281
FDN24,OUT049,827.0870254
NCL41,OUT027,1161.955029
FDR02,OUT019,275.1955394
FDD09,OUT010,465.4869789
FDS33,OUT010,229.090273
FDU22,OUT045,2000.138963
FDI53,OUT013,2603.639174
DRH01,OUT049,2957.867304
FDX32,OUT013,2426.525252
NCP30,OUT018,596.4837484
FDB60,OUT045,3129.096822
FDB14,OUT049,1393.700118
NCP02,OUT035,932.2295164
FDJ10,OUT017,2274.007813
FDG34,OUT046,1772.656713
NCB18,OUT017,1416.122676
FDM16,OUT049,1161.949342
FDW25,OUT018,1256.704065
FDB35,OUT010,231.2665793
DRN11,OUT013,2430.111463
FDF41,OUT019,517.1402372
FDH16,OUT045,1382.55414
NCQ50,OUT018,3194.469798
DRH23,OUT018,774.5159794
DRJ37,OUT013,2517.06106
DRJ24,OUT027,4995.115717
FDY16,OUT035,3024.425258
FDQ27,OUT045,1663.515697
FDZ33,OUT045,2463.675995
FDF29,OUT045,2108.990044
FDA08,OUT049,2877.935284
FDG31,OUT046,1009.505614
FDE34,OUT019,482.6272908
NCR30,OUT027,2054.714864
FDV33,OUT035,4034.878603
DRZ24,OUT018,1721.641033
NCL54,OUT035,2895.394696
FDR12,OUT049,3016.108742
NCC54,OUT046,3878.522227
DRN59,OUT013,740.250005
FDX50,OUT019,272.3500464
FDV31,OUT027,5031.394572
NCA29,OUT027,4682.883788
FDW60,OUT049,3007.935518
FDX08,OUT017,3132.167882
DRD49,OUT013,4025.916841
FDD33,OUT046,3608.719965
FDW35,OUT013,678.9821139
FDJ36,OUT017,1730.1957
FDV51,OUT035,2857.439355
FDW36,OUT046,1720.600638
FDH35,OUT046,2792.663267
NCS30,OUT027,3455.753268
FDN49,OUT017,600.4906373
FDL08,OUT018,3534.735378
FDI09,OUT013,4049.623825
FDP19,OUT018,1800.683002
FDU21,OUT010,157.6214551
NCP41,OUT045,1675.446313
FDY10,OUT013,1866.403049
FDP12,OUT018,582.3152363
NCN26,OUT049,1961.691082
FDK44,OUT013,2839.610627
FDC28,OUT049,1688.22859
FDJ41,OUT027,6105.816061
NCT29,OUT035,2028.640813
NCH42,OUT019,495.7856939
FDU60,OUT018,2409.891672
FDS02,OUT045,3117.895069
FDC51,OUT046,2065.069191
FDU03,OUT013,3174.140951
FDX39,OUT045,3593.000361
NCY05,OUT010,148.5563134
NCL06,OUT027,6085.121035
FDD32,OUT035,1285.594965
NCN41,OUT045,2052.507903
NCX53,OUT049,2234.685675
FDU57,OUT019,362.4677052
FDQ23,OUT046,1716.230706
FDQ52,OUT045,4013.181083
FDC14,OUT045,662.0274507
FDY09,OUT035,2936.241983
FDQ28,OUT045,2634.308714
FDV25,OUT046,3501.446102
FDJ07,OUT035,1938.263686
DRB25,OUT049,1664.382195
FDK52,OUT019,506.061961
FDY52,OUT027,1760.892789
FDB28,OUT046,3221.918779
FDT36,OUT035,626.483519
FDV25,OUT017,3785.486463
NCN07,OUT027,3406.207056
FDC57,OUT017,3147.458502
FDQ03,OUT018,3370.286468
FDU23,OUT017,2719.540835
NCX41,OUT035,3659.511212
NCD06,OUT035,763.6972038
FDW08,OUT045,1655.009103
NCU29,OUT017,2414.219095
NCE06,OUT013,2590.112491
FDV52,OUT010,267.3955419
FDB02,OUT017,2904.790079
NCR18,OUT045,694.0033316
FDK16,OUT049,1450.187659
NCQ29,OUT010,561.2953623
FDZ01,OUT019,268.7799401
FDW27,OUT035,2554.60315
FDD17,OUT018,3442.606925
FDW39,OUT013,2928.828991
DRH59,OUT045,1199.523955
FDS52,OUT013,1667.627036
FDU40,OUT027,5243.508574
NCF54,OUT013,2852.280996
FDH46,OUT045,1655.05903
NCP14,OUT049,1668.874711
FDH50,OUT049,3214.977226
DRF15,OUT010,376.9678266
FDV27,OUT027,2393.41164
NCJ06,OUT049,2124.315499
FDN02,OUT018,3113.964463
FDQ51,OUT049,739.8451813
FDQ07,OUT017,3844.598378
FDS45,OUT049,1657.840732
NCJ06,OUT045,2085.881109
FDD36,OUT035,1974.680515
FDY25,OUT045,3063.344141
FDU52,OUT046,2426.455553
DRK47,OUT017,3899.573599
NCL30,OUT017,2189.873063
FDN22,OUT035,4037.746077
NCF30,OUT027,3352.476739
FDK03,OUT035,4109.991607
FDT45,OUT017,862.0319134
NCC54,OUT027,6066.237978
FDP08,OUT018,2861.273382
FDU44,OUT046,2766.812184
DRG39,OUT035,873.7507816
FDU32,OUT049,2054.863164
FDY27,OUT049,3096.614497
NCP54,OUT013,2126.665405
NCZ41,OUT049,2150.679575
DRL49,OUT013,2454.325711
FDI05,OUT018,1181.376159
FDY56,OUT045,3762.661975
DRC13,OUT013,2070.360279
NCV29,OUT017,3101.179755
FDR24,OUT049,1342.343153
FDZ34,OUT018,2793.658431
FDP37,OUT035,2070.718773
FDX08,OUT027,5139.471679
FDS57,OUT045,2171.553658
NCG18,OUT049,1659.072827
FDK25,OUT018,2431.794079
FDH53,OUT049,1261.441016
DRI59,OUT018,3239.67851
FDA52,OUT046,2804.59824
FDT20,OUT010,142.8553135
FDE36,OUT019,417.5804486
FDI24,OUT017,2821.056085
FDB28,OUT018,2988.610915
FDV11,OUT017,2894.254402
FDP01,OUT046,2490.783704
FDD34,OUT027,4370.567465
FDJ50,OUT027,1440.945911
FDZ44,OUT013,2006.585984
DRO59,OUT035,1269.624413
DRB48,OUT045,656.0043298
FDR21,OUT018,2619.32318
NCE42,OUT010,543.3760035
FDO23,OUT046,1435.601058
NCE30,OUT018,3186.654753
FDQ22,OUT035,639.4847141
FDY01,OUT045,1921.075847
FDS08,OUT017,2937.569219
FDG28,OUT018,3575.021816
FDQ51,OUT018,684.8004464
FDB05,OUT017,4041.171302
FDO56,OUT049,1951.071425
FDE02,OUT018,1317.096311
FDN45,OUT017,3894.491143
FDS09,OUT013,751.9146186
NCA54,OUT018,2721.965302
FDP09,OUT010,506.8966029
FDC53,OUT045,1588.138273
NCM55,OUT017,3105.95882
FDL09,OUT018,2470.040861
FDA11,OUT019,241.3915226
FDA50,OUT045,1505.886123
FDC23,OUT017,3042.477037
FDE22,OUT049,2736.867665
FDD23,OUT046,3165.381404
NCA29,OUT049,3038.241387
FDK38,OUT046,2379.981448
DRC13,OUT046,2065.265004
NCP43,OUT049,3055.267527
FDX28,OUT049,1624.083415
FDF08,OUT049,1380.875363
FDZ33,OUT046,2464.225692
FDD10,OUT049,3074.018325
FDO58,OUT017,2706.004729
FDI50,OUT017,4062.896976
FDO58,OUT045,2831.705038
FDX08,OUT013,3186.898992
NCK17,OUT010,153.1740969
FDF39,OUT035,4137.717184
FDU45,OUT010,276.0693155
NCJ18,OUT018,1674.544987
DRC27,OUT019,520.7485211
DRC25,OUT035,1416.654336
FDU59,OUT035,2634.803294
FDU28,OUT035,3080.87371
NCP30,OUT046,666.5697163
FDB39,OUT018,762.2184588
FDE41,OUT013,1348.625743
DRH11,OUT010,168.8200356
FDA58,OUT045,3720.4688
FDU50,OUT046,1913.884761
FDM34,OUT013,2196.664609
FDM44,OUT027,2655.542871
FDR39,OUT045,2919.955816
FDM25,OUT045,2805.125086
FDQ49,OUT049,2603.47037
DRH25,OUT018,711.7464222
FDM09,OUT027,4603.655546
FDL44,OUT019,402.0868552
NCR42,OUT018,581.6297019
DRL59,OUT046,856.0775299
FDX43,OUT013,2677.978953
DRK47,OUT010,564.1641028
FDU48,OUT018,1839.066293
FDY12,OUT045,811.6489108
NCN43,OUT018,1713.796411
NCM55,OUT018,2700.475405
FDQ21,OUT027,3248.044165
FDX13,OUT035,4187.015224
NCK30,OUT027,6099.070996
FDG20,OUT049,3000.351852
DRG27,OUT017,617.6017869
FDY14,OUT018,3613.092075
FDP59,OUT035,1684.187001
FDU60,OUT017,2812.550918
NCC18,OUT019,407.8149696
DRJ39,OUT017,3704.578063
FDS07,OUT049,1881.580154
FDM08,OUT027,5707.243637
FDP51,OUT045,2029.449462
FDU16,OUT035,1316.780615
FDH12,OUT013,1733.016689
DRE48,OUT010,504.1039445
